,img,type,label,confidence
142,img_00027,Text,UR,94.56011199951172
143,img_00027,Text,OREAL,94.81090545654297
144,img_00027,Text,LAMOUR,87.0582504272461
145,img_00027,Text,PARis,83.75978088378906
146,img_00027,Text,L'ORE,97.45144653320312
147,img_00027,Text,CONDE,83.46321868896484
148,img_00027,Text,ST,81.68716430664062
149,img_00027,Text,PARi,85.92562866210938
150,img_00027,Text,L'OREA,95.9749984741211
151,img_00027,Text,R,88.54167175292969
152,img_00027,Text,PARis,87.45592498779297
153,img_00027,Text,UR,98.05293273925781
154,img_00027,Text,CON,81.10431671142578
155,img_00027,Text,GLAMOE,78.60108947753906
156,img_00027,Text,L'OREAL,86.32469177246094
157,img_00027,Text,DUR,87.96751403808594
158,img_00027,Text,PARis,79.68094635009766
159,img_00027,Text,NAST,93.0844497680664
160,img_00027,Text,L'd,71.17545318603516
161,img_00027,Text,EONDE,76.80237579345703
162,img_00027,Text,L'OREAL,93.85485076904297
163,img_00027,Text,UR,94.56011199951172
164,img_00029,Label,Human,99.25265502929688
165,img_00029,Label,People,99.25263977050781
166,img_00029,Label,Person,99.25265502929688
167,img_00029,Label,Premiere,94.35420989990234
168,img_00029,Label,Red Carpet,94.35420989990234
169,img_00029,Label,Red Carpet Premiere,94.35420989990234
170,img_00029,Label,Clothing,90.09821319580078
171,img_00029,Label,Coat,90.09821319580078
172,img_00029,Label,Overcoat,90.09821319580078
173,img_00029,Label,Suit,90.09821319580078
174,img_00029,Label,Tuxedo,78.74060821533203
175,img_00029,Celebrity,"Jelena Noura ""Gigi"" Hadid",99.69742584228516
176,img_00029,Celebrity,Allie Quigley,99.99576568603516
177,img_00029,Text,V7,59.88308334350586
178,img_00029,Text,V7,59.88308334350586
179,img_00030,Label,Human,99.28309631347656
180,img_00030,Label,People,99.28309631347656
181,img_00030,Label,Person,99.28309631347656
182,img_00030,Label,Kiss,75.10984802246094
183,img_00030,Label,Kissing,75.10984802246094
184,img_00031,Label,Human,99.05271911621094
185,img_00031,Label,People,99.05270385742188
186,img_00031,Label,Person,99.05271911621094
187,img_00031,Celebrity,Saina Nehwal,99.99994659423828
188,img_00032,Label,Human,99.14451599121094
189,img_00032,Label,People,99.1445083618164
190,img_00032,Label,Person,99.14451599121094
191,img_00032,Label,Bikini,87.98975372314453
192,img_00032,Label,Clothing,87.98975372314453
193,img_00032,Label,Swimwear,87.98975372314453
194,img_00032,Label,Massage,78.97718811035156
195,img_00032,Label,Patient,78.97718811035156
196,img_00033,Label,Brochure,83.20979309082031
197,img_00033,Label,Flyer,83.20979309082031
198,img_00033,Label,Paper,83.20979309082031
199,img_00033,Label,Poster,83.20979309082031
200,img_00033,Text,OAT&T LTE 6:52 PM,82.16295623779297
201,img_00033,Text,Messages 384-387 Details,89.91397857666016
202,img_00033,Text,this HelloVote! I'm,83.80623626708984
203,img_00033,Text,going,87.74747467041016
204,img_00033,Text,you,83.71715545654297
205,img_00033,Text,register to ote. ka,82.00875854492188
206,img_00033,Text,few questions o ill out,76.35004425048828
207,img_00033,Text,your registration form.,84.82099151611328
208,img_00033,Text,Your answers are private,82.86962890625
209,img_00033,Text,and secure.,84.6573715209961
210,img_00033,Text,So your first,82.95792388916016
211,img_00033,Text,(Shouldr match,81.17198181152344
212,img_00033,Text,your government,87.56360626220703
213,img_00033,Text,Please t submit,81.83683013916016
214,img_00033,Text,fraudulent information.),88.0698471069336
215,img_00033,Text,John,84.49047088623047
216,img_00033,Text,"John, what's your",82.73834228515625
217,img_00033,Text,"last Again, this",85.26580810546875
218,img_00033,Text,needs to omatch your,78.91108703613281
219,img_00033,Text,official information.,87.66221618652344
220,img_00033,Text,Ciark,84.42687225341797
221,img_00033,Text,tMessage,86.72624969482422
222,img_00033,Text,Send,82.79447937011719
223,img_00033,Text,OAT&T,75.9412612915039
224,img_00033,Text,LTE,86.17440795898438
225,img_00033,Text,6:52 PM,84.37321472167969
226,img_00033,Text,Messages,94.02816009521484
227,img_00033,Text,384-387,91.73737335205078
228,img_00033,Text,Details,83.97640228271484
229,img_00033,Text,this,83.18262481689453
230,img_00033,Text,HelloVote! I'm,84.42984008789062
231,img_00033,Text,going,87.74747467041016
232,img_00033,Text,you,83.71715545654297
233,img_00033,Text,register,88.0506362915039
234,img_00033,Text,to,78.9438247680664
235,img_00033,Text,ote.,78.9349594116211
236,img_00033,Text,ka,82.10559844970703
237,img_00033,Text,few,81.88866424560547
238,img_00033,Text,questions,84.60027313232422
239,img_00033,Text,o,59.65180969238281
240,img_00033,Text,ill out,79.25942993164062
241,img_00033,Text,your,83.47676086425781
242,img_00033,Text,registration,88.07979583740234
243,img_00033,Text,form.,82.90641784667969
244,img_00033,Text,Your,78.7518081665039
245,img_00033,Text,answers,83.22358703613281
246,img_00033,Text,are,83.86730194091797
247,img_00033,Text,private,85.63580322265625
248,img_00033,Text,and,84.19977569580078
249,img_00033,Text,secure.,85.1149673461914
250,img_00033,Text,So,79.9874267578125
251,img_00033,Text,your,83.91523742675781
252,img_00033,Text,first,84.97110748291016
253,img_00033,Text,(Shouldr,83.04009246826172
254,img_00033,Text,match,79.30386352539062
255,img_00033,Text,your,83.57018280029297
256,img_00033,Text,government,91.5570297241211
257,img_00033,Text,Please,83.07808685302734
258,img_00033,Text,t submit,80.59557342529297
259,img_00033,Text,fraudulent,88.84265899658203
260,img_00033,Text,information.),87.29704284667969
261,img_00033,Text,John,84.49047088623047
262,img_00033,Text,"John,",78.1729965209961
263,img_00033,Text,what's,83.27462005615234
264,img_00033,Text,your,86.76742553710938
265,img_00033,Text,last,83.52934265136719
266,img_00033,Text,"Again,",88.81368255615234
267,img_00033,Text,this,83.45441436767578
268,img_00033,Text,needs,81.96504974365234
269,img_00033,Text,to,77.02185821533203
